;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
0;hh.ru;120000;170000;;Data Scientist;https://spb.hh.ru/vacancy/38660521?query=data%20scientist;ООО КИБЕРБОРЕЯ;https://hh.ru/employer/4835563;Москва;руб.
1;hh.ru;;120000;;Data scientist (middle/junior);https://spb.hh.ru/vacancy/38961658?query=data%20scientist; Открытые Технологии;https://hh.ru/employer/2808;Москва, Серпуховская;руб.
2;hh.ru;150000;;;Python Data Scientist;https://spb.hh.ru/vacancy/38732890?query=data%20scientist; Web Interactive World;https://hh.ru/employer/5552;Москва, Кузнецкий мост и еще 3 ;руб.
3;hh.ru;150000;;;Data Scientist;https://spb.hh.ru/vacancy/38883862?query=data%20scientist; GFAIVE;https://hh.ru/employer/2081630;Москва;руб.
4;hh.ru;200000;;;Data Scientist (Computer Vision);https://spb.hh.ru/vacancy/38638251?query=data%20scientist; СофтТелематика;https://hh.ru/employer/1925969;Москва, Савеловская;руб.
5;hh.ru;90000;200000;;Data Scientist (Computer Vision);https://spb.hh.ru/vacancy/38090271?query=data%20scientist; Tevian (ООО Технологии видеоанализа);https://hh.ru/employer/4046921;Москва;руб.
6;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/39051168?query=data%20scientist; Komfort IQ;https://hh.ru/employer/4740975;Москва;
7;hh.ru;;;;Data scientist / analyst;https://spb.hh.ru/vacancy/39044337?query=data%20scientist;ПАО Ростелеком;https://hh.ru/employer/2748;Москва;
8;hh.ru;;500000;;Data Scientist (middle or senior);https://spb.hh.ru/vacancy/38576646?query=data%20scientist;ООО РАБЛЗ;https://hh.ru/employer/2223982;Москва;руб.
9;hh.ru;120000;150000;;Data scientist /аналитик данных (медицина, наука, образование, социология);https://spb.hh.ru/vacancy/38222140?query=data%20scientist; ГК «ВИЗАВИ Консалт»;https://hh.ru/employer/1326;Москва;руб.
10;hh.ru;;;;Data Scientist (Montenegro);https://spb.hh.ru/vacancy/39037120?query=data%20scientist; LIBERTEX;https://hh.ru/employer/993;Москва;
11;hh.ru;200000;;;Ведущий Data scientist (ведущий инженер по работе с данными);https://spb.hh.ru/vacancy/38984081?query=data%20scientist; АСТ для профессионалов;https://hh.ru/employer/4121?dpt=4121-4121-exp;Москва;руб.
12;hh.ru;200000;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38226025?query=data%20scientist; FunCorp;https://hh.ru/employer/1212374;Москва;руб.
13;hh.ru;;;;Data Scientist (Middle);https://spb.hh.ru/vacancy/39040753?query=data%20scientist; ANCOR FinTech;https://hh.ru/employer/1947330;Москва, Румянцево;
14;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/39020025?query=data%20scientist;ООО Глобус, Сеть гипермаркетов;https://hh.ru/employer/18384;Москва, Речной вокзал;
15;hh.ru;;;;Data scientist/Python;https://spb.hh.ru/vacancy/38981353?query=data%20scientist; МИА Россия сегодня;https://hh.ru/employer/1425152;Москва, Парк культуры и еще 1 ;
16;hh.ru;100000;;;Data scientist /аналитик данных;https://spb.hh.ru/vacancy/38915999?query=data%20scientist;ООО ЮНИМ;https://hh.ru/employer/1573832;Москва;руб.
17;hh.ru;;;;Data Scientist (EY Technology);https://spb.hh.ru/vacancy/38981493?query=data%20scientist; EY (Эрнст энд Янг);https://hh.ru/employer/4900;Москва;
18;hh.ru;;;;Аналитик данных/Data scientist;https://spb.hh.ru/vacancy/37570794?query=data%20scientist; ИНВИТРО;https://hh.ru/employer/6093;Москва;
19;hh.ru;;;;Аналитик (Data Scientist);https://spb.hh.ru/vacancy/39055069?query=data%20scientist; Комус;https://hh.ru/employer/5694;Москва, Курская;
20;hh.ru;;;;Data scientist (Центр развития платформы Sber.DS);https://spb.hh.ru/vacancy/39008902?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
21;hh.ru;;;;Data Scientist (computer vision);https://spb.hh.ru/vacancy/36997030?query=data%20scientist; Prequel;https://hh.ru/employer/3297595;Москва, Деловой центр;
22;hh.ru;;;;Senior Data Scientist (remotely);https://spb.hh.ru/vacancy/38924294?query=data%20scientist; VIAcode;https://hh.ru/employer/84051;Москва;
23;hh.ru;;;;Data Scientist/Senior Data Scientist;https://spb.hh.ru/vacancy/38995758?query=data%20scientist; СИТИЛИНК;https://hh.ru/employer/3148;Москва, Мякинино;
24;hh.ru;;;;Data Scientist (NLP);https://spb.hh.ru/vacancy/39033904?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
25;hh.ru;;;;Главный специалист направления операционной отчетности (Аналитик SQL, Data Scientist);https://spb.hh.ru/vacancy/37903328?query=data%20scientist; «Почта России», Офис;https://hh.ru/employer/4352?dpt=pochta-4352-office;Москва, Верхние Котлы и еще 1 ;
26;hh.ru;;;;Lead data scientist;https://spb.hh.ru/vacancy/38665916?query=data%20scientist; Сидякина Ольга Николаевна;https://hh.ru/employer/4731502;Москва;
27;hh.ru;;;;Data Scientist (Validation);https://spb.hh.ru/vacancy/38134092?query=data%20scientist; «РОСБАНК, Societe Generale Group», с опытом работы;https://hh.ru/employer/599?dpt=rosbank-599-opyt;Москва;
28;hh.ru;;;;Middle data scientist;https://spb.hh.ru/vacancy/37226477?query=data%20scientist; МАГНИТ, Розничная сеть;https://hh.ru/employer/49357;Москва, Технопарк;
29;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38901600?query=data%20scientist; Datana (ГК ЛАНИТ);https://hh.ru/employer/4470218;Москва;
30;hh.ru;;;;Data Scientist (комплексная оценка рисков);https://spb.hh.ru/vacancy/38691954?query=data%20scientist; «РОСБАНК, Societe Generale Group», с опытом работы;https://hh.ru/employer/599?dpt=rosbank-599-opyt;Москва, Комсомольская и еще 2 ;
31;hh.ru;;;;Тьютор студентов буткемпа Data Science;https://spb.hh.ru/vacancy/39026500?query=data%20scientist; SkillFactory;https://hh.ru/employer/2869446;Москва;
32;hh.ru;;;;Data инженер (Big data);https://spb.hh.ru/vacancy/38824485?query=data%20scientist; Лента, федеральная розничная сеть, IT ;https://hh.ru/employer/7172?dpt=7172-7172-it;Москва;
33;hh.ru;;;;Data Scientist (HR data);https://spb.hh.ru/vacancy/38679373?query=data%20scientist; Северсталь. Управляющая компания;https://hh.ru/employer/6041?dpt=severstal-6041-MAIN;Москва, Войковская;
34;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38996854?query=data%20scientist; «РОСБАНК, Societe Generale Group», с опытом работы;https://hh.ru/employer/599?dpt=rosbank-599-opyt;Москва, Комсомольская и еще 2 ;
35;hh.ru;;;;Data Scientist (Big Data);https://spb.hh.ru/vacancy/38922630?query=data%20scientist;ПАО «МТС»,IT;https://hh.ru/employer/3776?dpt=mts-3776-it;Москва, Технопарк;
36;hh.ru;;;;Data Scientist (клиентская аналитика);https://spb.hh.ru/vacancy/38922500?query=data%20scientist;ПАО МегаФон, IT;https://hh.ru/employer/3127?dpt=mgfn-3127-it;Москва, Маяковская и еще 2 ;
37;hh.ru;300000;;;Global Head of Data Science & Analytics;https://spb.hh.ru/vacancy/38798824?query=data%20scientist; Dostavista Global;https://hh.ru/employer/3730831;Москва;руб.
38;hh.ru;;;;Data Scientist в Корпоративно-Инвестиционный Блок Банка;https://spb.hh.ru/vacancy/36550195?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
39;hh.ru;;100000;;Senior Data Scientist / NLP инженер;https://spb.hh.ru/vacancy/38996966?query=data%20scientist;ООО Диджитал медикэл оперейшнс;https://hh.ru/employer/3086591;Москва, Деловой центр и еще 2 ;руб.
40;hh.ru;;;;Data scientist (Сберсоветник);https://spb.hh.ru/vacancy/38580904?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
41;hh.ru;;;;Quantitative Researcher (Deep Research);https://spb.hh.ru/vacancy/37374211?query=data%20scientist; WorldQuant;https://hh.ru/employer/826770;Москва, Белорусская;
42;hh.ru;;;;Senior Data scientist;https://spb.hh.ru/vacancy/38324035?query=data%20scientist;ООО МФК Займ Онлайн;https://hh.ru/employer/1039977;Москва, Динамо и еще 1 ;
43;hh.ru;;;;Data scientist (аналитик/ моделист);https://spb.hh.ru/vacancy/38037678?query=data%20scientist; Star-staff;https://hh.ru/employer/1111058;Москва;
44;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/37523659?query=data%20scientist;АО Гринатом;https://hh.ru/employer/665467;Москва, Верхние Котлы и еще 2 ;
45;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38296454?query=data%20scientist;ТОО Business and Technology Services;https://hh.ru/employer/1038826;Москва;
46;hh.ru;;;;Middle Data Scientist NLP;https://spb.hh.ru/vacancy/38440446?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
47;hh.ru;;;;Data Scientist, Дивизион «Массовая персонализация»;https://spb.hh.ru/vacancy/38937276?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
48;hh.ru;;;;Data scientist/ Директор в управлении розничного моделирования;https://spb.hh.ru/vacancy/37625294?query=data%20scientist; Банк ВТБ (ПАО);https://hh.ru/employer/4181;Москва;
49;hh.ru;;;;Data Scientist (Транзакционный бизнес, корпоративный блок);https://spb.hh.ru/vacancy/38260133?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
50;hh.ru;;;;Руководитель направления по исследованию данных/Data Scientist;https://spb.hh.ru/vacancy/38733057?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
51;hh.ru;180000;200000;;Data Scientist (ML/CV);https://spb.hh.ru/vacancy/38742848?query=data%20scientist;ООО Искусственный интеллект;https://hh.ru/employer/4718359;Москва;руб.
52;hh.ru;;;;Middle Data Scientist (ДККК);https://spb.hh.ru/vacancy/38636757?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
53;hh.ru;;;;Data scientist (Центр акционерного риска);https://spb.hh.ru/vacancy/38859023?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
54;hh.ru;250000;;;Machine Learning Developer (AWS);https://spb.hh.ru/vacancy/38645926?query=data%20scientist;ООО ClearScale;https://hh.ru/employer/1574063;Москва;руб.
55;hh.ru;;;;Lead Computer Vision Data Scientist;https://spb.hh.ru/vacancy/38387169?query=data%20scientist; Сбербанк для руководителей;https://hh.ru/employer/3529?dpt=3529-3529-lead;Москва, Кутузовская;
56;hh.ru;;;;Руководитель направления по исследованию данных(Data Scientist);https://spb.hh.ru/vacancy/34777225?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
57;hh.ru;;;;Senior Data Scientist в NLP лабораторию;https://spb.hh.ru/vacancy/38426832?query=data%20scientist; СКБ Контур;https://hh.ru/employer/41862;Москва;
58;hh.ru;;;;Data Scientist (платформа игр и приложений в Одноклассниках);https://spb.hh.ru/vacancy/38929243?query=data%20scientist; Mail.ru Group;https://hh.ru/employer/15478;Москва, Аэропорт;
59;hh.ru;;;;Python developer (Data Engineer);https://spb.hh.ru/vacancy/33647219?query=data%20scientist; Admitad;https://hh.ru/employer/790022;Москва, Дмитровская;
60;hh.ru;;;;Educational Content Creator in Data Analysis & Data Science at Practicum;https://spb.hh.ru/vacancy/38855699?query=data%20scientist; Яндекс;https://hh.ru/employer/1740;Москва;
61;hh.ru;;;;Junior Data Scientist;https://spb.hh.ru/vacancy/38795775?query=data%20scientist; АДВ;https://hh.ru/employer/1994;Москва, Павелецкая и еще 1 ;
62;hh.ru;;;;Team Lead Data Scientist (Surge Pricing);https://spb.hh.ru/vacancy/37457846?query=data%20scientist; Ситимобил;https://hh.ru/employer/188712;Москва;
63;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38886823?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
64;hh.ru;;;;Senior System Software Engineer (Computer Vision - AI);https://spb.hh.ru/vacancy/38585324?query=data%20scientist; NVIDIA;https://hh.ru/employer/5135;Москва, Марьина Роща и еще 1 ;
65;hh.ru;;;;Senior Data Scientist (Дивизион ЦКР);https://spb.hh.ru/vacancy/38431497?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
66;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38957734?query=data%20scientist; Luxoft;https://hh.ru/employer/1304;Москва;
67;hh.ru;;200000;;Data Scientist / Аналитик данных;https://spb.hh.ru/vacancy/38037985?query=data%20scientist; Медиалогия;https://hh.ru/employer/6382;Москва, Дмитровская;руб.
68;hh.ru;;;;Senior Data инженер;https://spb.hh.ru/vacancy/38824632?query=data%20scientist; Лента, федеральная розничная сеть, IT ;https://hh.ru/employer/7172?dpt=7172-7172-it;Москва;
69;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38958683?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
70;hh.ru;;;;Аналитик / data scientist;https://spb.hh.ru/vacancy/38873532?query=data%20scientist; Банк Открытие;https://hh.ru/employer/23040;Москва;
71;hh.ru;;;;Data scientist;https://spb.hh.ru/vacancy/38715462?query=data%20scientist; ANCOR Consumer Goods;https://hh.ru/employer/1947314;Москва;
72;hh.ru;;;;Исследователь данных (Data Scientist);https://spb.hh.ru/vacancy/38813529?query=data%20scientist; Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации;https://hh.ru/employer/3508081;Москва, Юго-Западная;
73;hh.ru;;;;Data Scientists Middle/Senior;https://spb.hh.ru/vacancy/35723655?query=data%20scientist; Альфа-Банк;https://hh.ru/employer/80;Москва, Технопарк;
74;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38798676?query=data%20scientist; Лаборатория Касперского;https://hh.ru/employer/1057;Москва;
75;hh.ru;;;;Senior Data Scientist CV/NLP (команда IDP);https://spb.hh.ru/vacancy/38793204?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
76;hh.ru;;;;Data scientist (Центр по исследованию данных);https://spb.hh.ru/vacancy/38895037?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Ленинский проспект;
77;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/37350561?query=data%20scientist; Циан;https://hh.ru/employer/1429999;Москва, Преображенская площадь;
78;hh.ru;;;;Lead Data Scientist (RecSys) at Sberbank Corporate;https://spb.hh.ru/vacancy/36550187?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
79;hh.ru;;;;Главный менеджер по аналитике данных (Data Scientist);https://spb.hh.ru/vacancy/38879227?query=data%20scientist; Норникель;https://hh.ru/employer/740;Москва;
80;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38956895?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
81;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38822907?query=data%20scientist;ПАО Первая Грузовая Компания;https://hh.ru/employer/219464;Москва, Бауманская и еще 2 ;
