;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
0;hh.ru;300000;;;Senior Java Backend developer;https://spb.hh.ru/vacancy/38931241?query=java;ООО Дельта Софт Групп;https://hh.ru/employer/4595727;Москва;руб.
1;hh.ru;;;;Java-разработчик, Middle;https://spb.hh.ru/vacancy/38463798?query=java; Ticketland.ru;https://hh.ru/employer/706399;Москва, Павелецкая;
2;hh.ru;140000;;;PHP-разработчик;https://spb.hh.ru/vacancy/35484807?query=java;ООО Метротел;https://hh.ru/employer/2221767;Москва;руб.
3;hh.ru;100000;140000;;Младший Java разработчик;https://spb.hh.ru/vacancy/37840743?query=java; МойСклад;https://hh.ru/employer/208576;Москва, ЗИЛ и еще 1 ;руб.
4;hh.ru;180000;230000;;Java-разработчик;https://spb.hh.ru/vacancy/38641231?query=java;ООО А 3;https://hh.ru/employer/694940;Москва;руб.
5;hh.ru;230000;350000;;Разработчик Java (Spring);https://spb.hh.ru/vacancy/39048981?query=java;ИП Черногорцева Ирина Сергеевна;https://hh.ru/employer/3937560;Москва, Авиамоторная;руб.
6;hh.ru;160000;230000;;Java разработчик (удаленно);https://spb.hh.ru/vacancy/38958405?query=java;ООО Софт Компани;https://hh.ru/employer/3296562;Москва, Сокол;руб.
7;hh.ru;180000;250000;;Java Developer;https://spb.hh.ru/vacancy/38773320?query=java; NOMIA;https://hh.ru/employer/2784276;Москва;руб.
8;hh.ru;175000;;;Java разработчик;https://spb.hh.ru/vacancy/39046694?query=java;ООО Интермобилити;https://hh.ru/employer/3698337;Москва;руб.
9;hh.ru;150000;;;Программист Java;https://spb.hh.ru/vacancy/38614296?query=java; Юнайтед 3Д Лабс;https://hh.ru/employer/926737;Москва, Нагатинская;руб.
10;hh.ru;150000;200000;;Java-разработчик;https://spb.hh.ru/vacancy/38767687?query=java;ЗАО ЮНИС Лабс;https://hh.ru/employer/253771;Москва, Зорге и еще 2 ;руб.
11;hh.ru;140000;230000;;Java разработчик;https://spb.hh.ru/vacancy/37424689?query=java; МойСклад;https://hh.ru/employer/208576;Москва, ЗИЛ и еще 1 ;руб.
12;hh.ru;160000;230000;;Backend-разработчик (Java);https://spb.hh.ru/vacancy/38785266?query=java; DCloud;https://hh.ru/employer/4770322;Москва;руб.
13;hh.ru;3200;;;Java developer;https://spb.hh.ru/vacancy/39011835?query=java;ООО Смолис;https://hh.ru/employer/2801787;Москва, Сокол и еще 1 ;USD
14;hh.ru;250000;;;Senior Java Developer;https://spb.hh.ru/vacancy/38376094?query=java; Шаресофт;https://hh.ru/employer/185453;Москва;руб.
15;hh.ru;;330000;;Java developer;https://spb.hh.ru/vacancy/36144952?query=java;ПАО Детский Мир;https://hh.ru/employer/4880;Москва;руб.
16;hh.ru;150000;;;Разработчик Java;https://spb.hh.ru/vacancy/36679735?query=java;АО ВРБ;https://hh.ru/employer/3796683;Москва, Деловой центр и еще 2 ;руб.
17;hh.ru;300000;;;Senior backend developer Java;https://spb.hh.ru/vacancy/38982017?query=java;ООО Money Managing Solutions;https://hh.ru/employer/1758157;Москва, Алексеевская;руб.
18;hh.ru;230000;300000;;Senior Java разработчик;https://spb.hh.ru/vacancy/38452973?query=java; МойСклад;https://hh.ru/employer/208576;Москва, ЗИЛ и еще 1 ;руб.
19;hh.ru;200000;;;Java-разработчик (Госпроект);https://spb.hh.ru/vacancy/38542830?query=java; Бизнес-Азимут;https://hh.ru/employer/701365;Москва;руб.
20;hh.ru;150000;;;Программист Java;https://spb.hh.ru/vacancy/38879615?query=java; iiko, Компания Aйко;https://hh.ru/employer/76650;Москва;руб.
