;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
0;hh.ru;130000;150000;;Backend-разработчик (PHP);https://spb.hh.ru/vacancy/37635986?query=php; Petshopru;https://hh.ru/employer/773401;Санкт-Петербург;руб.
1;hh.ru;120000;220000;;Full Stack PHP - программист;https://spb.hh.ru/vacancy/38644437?query=php; Qip.ru;https://hh.ru/employer/4504786;Москва;руб.
2;hh.ru;;200000;;PHP-разработчик (удаленно);https://spb.hh.ru/vacancy/38300168?query=php; Пикабу;https://hh.ru/employer/1583540;Москва;руб.
3;hh.ru;200000;250000;;Ведущий PHP-разработчик / Senior php-developer;https://spb.hh.ru/vacancy/38951175?query=php;ООО МКК Русинтерфинанс;https://hh.ru/employer/1085439;Новосибирск, Площадь Ленина;руб.
4;hh.ru;;;;Программист со знанием PHP Laravel;https://spb.hh.ru/vacancy/39037682?query=php; Alumni Nazarbayev Intellectual Schools;https://hh.ru/employer/4597072;Нур-Султан;
5;hh.ru;150000;180000;;Senior PHP Developer;https://spb.hh.ru/vacancy/38815624?query=php; Ganymeda;https://hh.ru/employer/4104037;Санкт-Петербург;руб.
6;hh.ru;150000;180000;;Senior PHP Developer;https://spb.hh.ru/vacancy/38815623?query=php; Ganymeda;https://hh.ru/employer/4104037;Москва;руб.
7;hh.ru;150000;250000;;Ведущий web-программист (PHP) / Bitrix24;https://spb.hh.ru/vacancy/38910311?query=php; Артвелл;https://hh.ru/employer/168767;Москва;руб.
8;hh.ru;70000;120000;;PHP-программист;https://spb.hh.ru/vacancy/38354574?query=php;ООО А.И.С. Телеком;https://hh.ru/employer/2562808;Нижний Новгород, Горьковская;руб.
9;hh.ru;;;;Middle PHP Developer;https://spb.hh.ru/vacancy/38868606?query=php; Новый Сайт;https://hh.ru/employer/773313;Минск, Спортивная;
10;hh.ru;35000;;;Начинающий веб-программист;https://spb.hh.ru/vacancy/39032945?query=php;ООО Натуральное Здоровье;https://hh.ru/employer/4600104;Казань;руб.
11;hh.ru;140000;;;PHP-разработчик;https://spb.hh.ru/vacancy/35484807?query=php;ООО Метротел;https://hh.ru/employer/2221767;Москва;руб.
12;hh.ru;;;;PHP developer;https://spb.hh.ru/vacancy/38328926?query=php;ООО Зефир Девелопмент / Zephyrmobile;https://hh.ru/employer/2525847;Минск, Фрунзенская;
13;hh.ru;120000;;;PHP-разработчик;https://spb.hh.ru/vacancy/38790552?query=php;ООО Метротел;https://hh.ru/employer/2221767;Екатеринбург;руб.
14;hh.ru;;;;Программист PHP;https://spb.hh.ru/vacancy/37474540?query=php;ООО Спортдата;https://hh.ru/employer/2115595;Минск, Восток;
15;hh.ru;55000;70000;;Web-разработчик;https://spb.hh.ru/vacancy/38655031?query=php; Searchinform;https://hh.ru/employer/534283;Астрахань;руб.
16;hh.ru;55000;70000;;Web-разработчик;https://spb.hh.ru/vacancy/38655003?query=php; Searchinform;https://hh.ru/employer/534283;Краснодар;руб.
17;hh.ru;80000;;;Разработчик SQL+JS+PHP (fullstack);https://spb.hh.ru/vacancy/39025709?query=php;ИП Быков Я.А.;https://hh.ru/employer/593353;Санкт-Петербург;руб.
18;hh.ru;55000;70000;;Web-разработчик;https://spb.hh.ru/vacancy/38654981?query=php; Searchinform;https://hh.ru/employer/534283;Ростов-на-Дону;руб.
19;hh.ru;;;;PHP-developer / PHP программист;https://spb.hh.ru/vacancy/38634972?query=php; BelVG;https://hh.ru/employer/763022;Минск, Молодежная;
20;hh.ru;3500000;6000000;;Web-developer;https://spb.hh.ru/vacancy/39016090?query=php;ООО Energy Progress Metall;https://hh.ru/employer/3254611;Чирчик;сум
21;hh.ru;40000;60000;;Веб-разработчик в техническую поддержку (PHP, Битрикс);https://spb.hh.ru/vacancy/38918175?query=php; it-in;https://hh.ru/employer/548967;Москва, Шоссе Энтузиастов и еще 1 ;руб.
22;hh.ru;165000;185000;;PHP-разработчик;https://spb.hh.ru/vacancy/38400480?query=php; Creative;https://hh.ru/employer/1517303;Санкт-Петербург, Петроградская;руб.
23;hh.ru;180000;250000;;Программист PHP;https://spb.hh.ru/vacancy/37975781?query=php;ООО Премиум Бонус;https://hh.ru/employer/2009999;Москва, Авиамоторная;руб.
24;hh.ru;100000;180000;;PHP-программист (Laravel);https://spb.hh.ru/vacancy/38714871?query=php; ЦО Коалиция;https://hh.ru/employer/2632702;Москва;руб.
25;hh.ru;170000;250000;;Senior PHP Developer;https://spb.hh.ru/vacancy/33636316?query=php; BelkaCar;https://hh.ru/employer/1749095;Москва;руб.
26;hh.ru;100000;180000;;PHP Backend разработчик;https://spb.hh.ru/vacancy/38826238?query=php; К50;https://hh.ru/employer/1415518;Москва;руб.
27;hh.ru;100000;120000;;Программист PHP;https://spb.hh.ru/vacancy/37463341?query=php; «ОФИСМАГ», Корпоративное направление;https://hh.ru/employer/840485?dpt=840485-840485-corp;Липецк;руб.
28;hh.ru;60000;90000;;HTML-верстальщик / Frontend разработчик;https://spb.hh.ru/vacancy/39052547?query=php; Lincoln Labs;https://hh.ru/employer/4615335;Санкт-Петербург;руб.
29;hh.ru;150000;180000;;PHP Developer (Symfony4);https://spb.hh.ru/vacancy/38946409?query=php;ООО Комс;https://hh.ru/employer/2500202;Москва, Кузнецкий мост и еще 2 ;руб.
30;hh.ru;110000;150000;;PHP Laravel программист (удаленно);https://spb.hh.ru/vacancy/39049510?query=php;ИП Мигалин Антон Сергеевич;https://hh.ru/employer/1532208;Тула;руб.
31;hh.ru;2500;3000;;Senior PHP developer;https://spb.hh.ru/vacancy/38898409?query=php;ООО Стаартер Лабс;https://hh.ru/employer/4501802;Минск, Купаловская и еще 2 ;USD
32;hh.ru;100000;120000;;Программист PHP;https://spb.hh.ru/vacancy/37463282?query=php; «ОФИСМАГ», Корпоративное направление;https://hh.ru/employer/840485?dpt=840485-840485-corp;Брянск;руб.
33;hh.ru;110000;150000;;PHP-программист (fullstack);https://spb.hh.ru/vacancy/38731090?query=php; Logsis;https://hh.ru/employer/1807972;Москва;руб.
34;hh.ru;140000;;;Senior PHP-разработчик;https://spb.hh.ru/vacancy/38948646?query=php; Jump Taxi;https://hh.ru/employer/897261;Москва;руб.
35;hh.ru;100000;120000;;Программист PHP;https://spb.hh.ru/vacancy/37463309?query=php; «ОФИСМАГ», Корпоративное направление;https://hh.ru/employer/840485?dpt=840485-840485-corp;Орел;руб.
36;hh.ru;120000;170000;;PHP-разработчик;https://spb.hh.ru/vacancy/38965358?query=php;ООО МКК «Макс.Кредит»;https://hh.ru/employer/2807185;Санкт-Петербург;руб.
37;hh.ru;140000;;;PHP-разработчик;https://spb.hh.ru/vacancy/38998655?query=php; MaxiBooking;https://hh.ru/employer/1754048;Москва;руб.
38;hh.ru;1800;2500;;PHP Developer;https://spb.hh.ru/vacancy/37357450?query=php;ООО GEGI LLC;https://hh.ru/employer/1947832;Москва;USD
39;hh.ru;130000;150000;;Backend-разработчик (PHP);https://spb.hh.ru/vacancy/38945009?query=php; Petshopru;https://hh.ru/employer/773401;Екатеринбург;руб.
40;hh.ru;125000;180000;;PHP-разработчик;https://spb.hh.ru/vacancy/39053890?query=php; Creative;https://hh.ru/employer/1517303;Москва;руб.
41;hh.ru;;145000;;PHP-разработчик;https://spb.hh.ru/vacancy/38983227?query=php; ВЦИОМ;https://hh.ru/employer/16498;Москва, Кропоткинская и еще 3 ;руб.
42;hh.ru;140000;;;Senior PHP-разработчик;https://spb.hh.ru/vacancy/38949160?query=php; Jump Taxi;https://hh.ru/employer/897261;Новосибирск, Площадь Ленина;руб.
