;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
0;hh.ru;120000;250000;;Ruby on Rails разработчик;https://spb.hh.ru/vacancy/39048960?query=ruby; CASTLE;https://hh.ru/employer/3875620;Воронеж;руб.
1;hh.ru;150000;;;Ruby on Rails Strong Middle Ruby Developer Удалённо;https://spb.hh.ru/vacancy/38997968?query=ruby; Компания «Мультилистинг»;https://hh.ru/employer/4878410;Москва;руб.
2;hh.ru;150000;;;Ruby on Rails Developer;https://spb.hh.ru/vacancy/38591531?query=ruby;ООО МСТ;https://hh.ru/employer/1852763;Санкт-Петербург, Горьковская;руб.
3;hh.ru;200000;320000;;Разработчик Ruby on Rails;https://spb.hh.ru/vacancy/38984093?query=ruby;ООО Бизнес партнер;https://hh.ru/employer/2096712;Москва, Нахимовский проспект;руб.
4;hh.ru;120000;250000;;Ruby on Rails разработчик;https://spb.hh.ru/vacancy/38995140?query=ruby; CASTLE;https://hh.ru/employer/3875620;Сочи;руб.
5;hh.ru;120000;250000;;Ruby on Rails разработчик;https://spb.hh.ru/vacancy/38995106?query=ruby; CASTLE;https://hh.ru/employer/3875620;Санкт-Петербург;руб.
6;hh.ru;130000;200000;;Ruby-программист / Разработчик Ruby on Rails (ROR — Middle / Senior);https://spb.hh.ru/vacancy/38816925?query=ruby; Веб Креатор;https://hh.ru/employer/1109156;Москва, Алексеевская;руб.
7;hh.ru;120000;250000;;Ruby on Rails разработчик;https://spb.hh.ru/vacancy/38995089?query=ruby; CASTLE;https://hh.ru/employer/3875620;Екатеринбург;руб.
8;hh.ru;;;;Ruby On Rails разработчик;https://spb.hh.ru/vacancy/39041576?query=ruby;ОАО Российские железные дороги;https://hh.ru/employer/23427;Москва;
9;hh.ru;;200000;;Ruby-программист / Разработчик Ruby on Rails (ROR) Junior / Middle;https://spb.hh.ru/vacancy/39025624?query=ruby; Веб Креатор;https://hh.ru/employer/1109156;Москва, Алексеевская;руб.
10;hh.ru;80000;200000;;Разработчик Ruby on Rails;https://spb.hh.ru/vacancy/38902305?query=ruby;ООО Инсейлс Рус;https://hh.ru/employer/1805574;Москва, Комсомольская;руб.
11;hh.ru;110000;140000;;Backend Ruby;https://spb.hh.ru/vacancy/38906672?query=ruby; UNIWEB;https://hh.ru/employer/886251;Санкт-Петербург;руб.
12;hh.ru;80000;220000;;Ruby on Rails developer;https://spb.hh.ru/vacancy/38381007?query=ruby; evrone.ru;https://hh.ru/employer/598471;Москва;руб.
13;hh.ru;40000;80000;;Junior разработчик Ruby on Rails;https://spb.hh.ru/vacancy/38902304?query=ruby;ООО Инсейлс Рус;https://hh.ru/employer/1805574;Москва, Комсомольская;руб.
14;hh.ru;60000;80000;;Ruby backend разработчик (RoR, Ruby On Rails);https://spb.hh.ru/vacancy/38927990?query=ruby; Whalesburg s.r.o.;https://hh.ru/employer/2561111;Москва, Деловой центр;руб.
15;hh.ru;170000;;;Middle / Senior Ruby on Rails developer;https://spb.hh.ru/vacancy/38368442?query=ruby; Datacrafts;https://hh.ru/employer/4773904;Москва;руб.
16;hh.ru;150000;;;Разработчик Ruby on Rails;https://spb.hh.ru/vacancy/38901647?query=ruby;;;Москва;руб.
